Timestamp,Detected Label
2024-12-08 20:04:09,asian: 2.54
2024-12-08 20:04:09,hair: 2.43
2024-12-08 20:04:09,korean: 2.36
2024-12-08 20:04:09,brown: 2.13
2024-12-08 20:04:09,sewing macine: 2.02
2024-12-08 20:04:09,bed: 2.01
2024-12-08 20:04:09,fang: 2.01
2024-12-08 20:04:09,native american: 1.98
2024-12-08 20:04:09,can: 1.98
2024-12-08 20:04:09,woman child: 1.97
2024-12-08 20:04:11,asian: 2.75
2024-12-08 20:04:11,hair: 2.68
2024-12-08 20:04:11,korean: 2.56
2024-12-08 20:04:11,brown: 2.34
2024-12-08 20:04:11,bed: 2.21
2024-12-08 20:04:11,sewing macine: 2.19
2024-12-08 20:04:11,fang: 2.18
2024-12-08 20:04:11,native american: 2.16
2024-12-08 20:04:11,can: 2.15
2024-12-08 20:04:11,woman child: 2.14
2024-12-08 20:04:14,asian: 3.12
2024-12-08 20:04:14,hair: 3.11
2024-12-08 20:04:14,korean: 2.89
2024-12-08 20:04:14,brown: 2.69
2024-12-08 20:04:14,bed: 2.52
2024-12-08 20:04:14,sewing macine: 2.51
2024-12-08 20:04:14,fang: 2.49
2024-12-08 20:04:14,native american: 2.47
2024-12-08 20:04:14,camera: 2.46
2024-12-08 20:04:14,can: 2.46
2024-12-08 20:04:16,hair: 3.59
2024-12-08 20:04:16,asian: 3.58
2024-12-08 20:04:16,korean: 3.32
2024-12-08 20:04:16,brown: 3.13
2024-12-08 20:04:16,sewing macine: 2.91
2024-12-08 20:04:16,camera: 2.89
2024-12-08 20:04:16,bed: 2.88
2024-12-08 20:04:16,fang: 2.87
2024-12-08 20:04:16,native american: 2.86
2024-12-08 20:04:16,can: 2.84
2024-12-08 20:04:18,hair: 4.22
2024-12-08 20:04:18,asian: 4.19
2024-12-08 20:04:18,korean: 3.85
2024-12-08 20:04:18,brown: 3.71
2024-12-08 20:04:18,native american: 3.39
2024-12-08 20:04:18,sewing macine: 3.39
2024-12-08 20:04:18,camera: 3.38
2024-12-08 20:04:18,bed: 3.38
2024-12-08 20:04:18,fang: 3.37
2024-12-08 20:04:18,can: 3.34
2024-12-08 20:04:20,asian: 5.17
2024-12-08 20:04:20,hair: 5.16
